,movie_name,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,world_wide_box_office
1715,The Commuter,2016,247210100,40000000,36343858,65641573,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,105.0,101985431
1716,A Monster Calls,2016,207180100,43000000,3740823,42673707,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,0.0,108.0,46414530
1717,All Eyez on Me,2016,151700100,45000000,44922302,9954553,R,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,137.0,54876855
1718,The Girl on the Train,2016,232900100,45000000,75395035,98883179,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,112.0,174278214
1719,Office Christmas Party,2016,264670100,45000000,54767494,36555805,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0.0,105.0,91323299
1720,Silence,2016,145370100,46500000,7100177,16626449,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,161.0,23726626
1721,Arrival,2016,229960100,47000000,100546139,102581755,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,116.0,203127894
1722,The Infiltrator,2016,216910100,47500000,15436808,5281296,R,Dramatization,Based on Factual Book/Article,Live Action,Thriller/Suspense,0.0,127.0,20718104
1723,Central Intelligence,2016,141800100,50000000,127440871,89753934,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,114.0,217194805
1724,Fifty Shades Darker,2016,229480100,55000000,114434010,266940758,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,1.0,118.0,381374768
1725,Kubo and the Two Strings,2016,221770100,55000000,48023088,29525034,PG,Fantasy,Original Screenplay,Stop-Motion Animation,Adventure,0.0,102.0,77548122
1726,Life,2016,264740100,58000000,30234022,70695644,R,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,103.0,100929666
1727,Rock Dog,2016,263890100,60000000,9420546,14727942,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,80.0,24148488
1728,Sully,2016,233620100,60000000,125070033,113454523,PG-13,Dramatization,Based on Factual Book/Article,Live Action,Drama,0.0,96.0,238524556
1729,Jack Reacher: Never Go Back,2016,240520100,60000000,58697076,101249413,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,1.0,118.0,159946489
1730,Smurfs: The Lost Village,2016,182010100,60000000,45020282,152558304,PG,Kids Fiction,Based on Comic/Graphic Novel,Digital Animation,Adventure,1.0,90.0,197578586
1731,Mei Ren Yu,2016,252860100,60720000,3229457,551287214,R,Science Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,94.0,554516671
1732,American Assassin,2016,269560100,63000000,36249674,32060466,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,112.0,68310140
1733,Pete’s Dragon,2016,222040100,65000000,76233151,61535824,PG,Kids Fiction,Remake,Animation/Live Action,Adventure,0.0,103.0,137768975
1734,The Finest Hours,2016,218740100,70000000,27569558,21683203,PG,Dramatization,Based on Real Life Events,Live Action,Thriller/Suspense,0.0,116.0,49252761
1735,The Lego Ninjago Movie,2016,208330100,70000000,59281555,63455646,PG,Kids Fiction,Based on Toy,Digital Animation,Adventure,0.0,101.0,122737201
1736,Storks,2016,229900100,70000000,72679278,110674153,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,100.0,183353431
1737,Inferno,2016,147940100,75000000,34343574,185175793,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,1.0,121.0,219519367
1738,Sing,2016,221790100,75000000,270329045,364125744,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,108.0,634454789
1739,Renegades,2016,227610100,77500000,0,1521672,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,105.0,1521672
1740,The Lego Batman Movie,2016,217170100,80000000,175750384,134909634,PG,Kids Fiction,Based on Toy,Digital Animation,Adventure,1.0,106.0,310660018
1741,The Greatest Showman,2016,144240100,84000000,174340174,212325376,PG,Dramatization,Based on Real Life Events,Live Action,Musical,0.0,105.0,386665550
1742,xXx: Return of Xander Cage,2016,151040100,85000000,44898413,300134946,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,1.0,110.0,345033359
1743,Jumanji: Welcome to the Jungle,2016,238230100,90000000,404508916,559987277,PG-13,Fantasy,Original Screenplay,Live Action,Adventure,1.0,119.0,964496193
