,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,genre_list,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,romance,scifi,TV_movie,thriller,war,western
12181,"[10749, 18]",322903,en,Naz & Maalik,1.4869999999999999,2014-01-01,Naz & Maalik,7.2,5,"['Romance', 'Drama']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
12182,[35],273128,en,"Myq Kaplan: Small, Dork and Handsome",1.483,2014-05-15,"Myq Kaplan: Small, Dork and Handsome",7.2,5,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12183,[10751],239018,en,A Lesson in Romance,1.483,2014-04-18,A Lesson in Romance,4.4,6,['Family'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12184,"[28, 27]",224951,en,Evil Feed,1.483,2014-06-28,Evil Feed,4.3,12,"['Action', 'Horror']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12185,"[12, 99, 10751]",342562,en,Tiny Giants 3D,1.4809999999999999,2014-05-24,Tiny Giants 3D,7.8,10,"['Adventure', 'Documentary', 'Family']",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12186,[53],299796,en,Fotograf,1.4809999999999999,2014-10-10,The Photographer,6.7,5,['Thriller'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12187,"[878, 28, 14, 12]",257155,en,Threads of Destiny,1.4809999999999999,2014-02-23,Threads of Destiny,5.2,13,"['Science Fiction', 'Action', 'Fantasy', 'Adventure']",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
12188,[18],254196,da,En du elsker,1.48,2014-12-20,Someone You Love,5.4,14,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12189,"[27, 18]",260163,en,Apocalyptic,1.48,2014-07-28,Apocalyptic,4.8,18,"['Horror', 'Drama']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
12190,[99],266080,en,National Gallery,1.479,2014-11-05,National Gallery,7.7,17,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12191,[99],147778,en,Showrunners: The Art of Running a TV Show,1.4769999999999999,2014-10-31,Showrunners: The Art of Running a TV Show,6.2,31,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12192,[18],313733,en,Anomaly,1.476,2014-04-16,Anomaly,6.3,9,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12193,"[28, 18, 878]",120172,he,Another World,1.476,2014-10-26,Another World,4.1,39,"['Action', 'Drama', 'Science Fiction']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
12194,"[18, 35]",276906,en,Apartment Troubles,1.475,2014-06-15,Apartment Troubles,5.4,8,"['Drama', 'Comedy']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12195,[35],287915,en,One Night in Istanbul,1.4680000000000002,2014-11-21,One Night in Istanbul,4.1,8,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12196,"[16, 10751]",303026,en,Mule-Tide Christmas,1.466,2014-11-04,Mule-Tide Christmas,4.0,3,"['Animation', 'Family']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12197,"[53, 18, 27]",272101,en,Sacrament,1.464,2014-06-07,Sacrament,4.6,9,"['Thriller', 'Drama', 'Horror']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
12198,"[27, 878, 53]",334894,en,Nightmare Code,1.462,2014-01-01,Nightmare Code,4.8,8,"['Horror', 'Science Fiction', 'Thriller']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
12199,"[27, 53]",261071,en,Happy Camp,1.462,2014-03-25,Happy Camp,4.4,8,"['Horror', 'Thriller']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12200,[99],503880,en,The Matrix Revolutions Revisited,1.459,2014-12-07,The Matrix Revolutions Revisited,10.0,1,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12201,"[10402, 99]",210274,en,Filmage: The Story of Descendents/All,1.4569999999999999,2014-09-30,Filmage: The Story of Descendents/All,7.3,8,"['Music', 'Documentary']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12202,[35],287954,en,Lolita from Interstellar Space,1.456,2014-03-08,Lolita from Interstellar Space,7.0,1,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12203,[53],255278,en,Way of the Wicked,1.4509999999999998,2014-05-20,Way of the Wicked,3.7,24,['Thriller'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12204,[18],262733,en,Dubrovskiy,1.45,2014-04-07,Dubrovskiy,5.1,9,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12205,"[27, 53]",212814,en,Death Do Us Part,1.449,2014-04-15,Death Do Us Part,3.9,12,"['Horror', 'Thriller']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12206,[27],46998,en,Το Κακό - Στην εποχή των ηρώων,1.446,2014-03-25,Evil - In the Time of Heroes,5.2,9,['Horror'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12207,[18],255174,de,Töchter,1.445,2014-10-13,Daughters,4.0,5,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
